year,state,pixel_count,sum_mapped_evi,density
2005,OH,2708,100706.0,0.5721281672537212
2005,OK,4037,54516.0,0.20775518759169986
2005,OR,7179,-18671.0,-0.040012000814340976
2005,PA,3057,119674.0,0.6022696962834353
2005,RI,52,1617.0,0.4784023668639053
2005,SC,1553,42553.0,0.4215463866461935
2005,SD,5929,59425.0,0.1541964528977516
2005,TN,2687,105102.0,0.6017692021413644
2005,TX,13723,34976.0,0.03921098212433926
2005,UT,5373,-97085.0,-0.2779853684376297
2005,VA,2480,92467.0,0.5736166253101737
2005,VT,809,31613.0,0.6011790434534563
2005,WA,5784,34421.0,0.09155495265453771
2005,WI,4452,149549.0,0.5167910705646555
2005,WV,1730,77335.0,0.6877278790573588
2005,WY,7085,-78549.0,-0.1705640301829434
2006,AL,2409,68091.0,0.4348500814254239
2006,AR,2737,81304.0,0.4570079536831455
2006,AZ,6253,-153617.0,-0.3779527365326182
2006,CA,8309,-65652.0,-0.1215586435468491
2006,CO,6211,-38652.0,-0.0957408072526411
2006,CT,228,7021.0,0.47375168690958164
2006,DE,83,2873.0,0.5325301204819277
2006,FL,1689,26577.0,0.2420822516737259
2006,GA,3073,79038.0,0.3956945105008886
2006,IA,3732,137970.0,0.5687608211723967
2006,ID,5708,-11826.0,-0.03187429249097084
2006,IL,3404,122915.0,0.5555229142185664
2006,IN,2258,84350.0,0.5747087279416775
2006,KS,4798,20898.0,0.06700868951806843
2006,KY,2351,93769.0,0.6136112292641429
2006,LA,1617,35958.0,0.3421150278293135
2006,MA,447,14373.0,0.49468249870934433
2006,MD,508,13866.0,0.4199273167777105
2006,ME,2418,83574.0,0.5317426989883566
2006,MI,4458,118843.0,0.41012872278013596
2006,MN,6591,186705.0,0.43580406848499703
2006,MO,4499,146557.0,0.5011609417477388
2006,MS,2485,67228.0,0.4162080173347779
2006,MT,11992,-63867.0,-0.08193539282598655
2006,NC,2356,76542.0,0.49981716076792476
2006,ND,5971,58265.0,0.1501230305450704
2006,NE,5134,51277.0,0.15365736717509215
2006,NH,697,26423.0,0.5832248096236619
2006,NJ,353,9238.0,0.4026149487905862
2006,NM,6780,-127241.0,-0.2887247560698888
2006,NV,7028,-209887.0,-0.4594523006873604
2006,NY,3432,130551.0,0.5852205486820872
2006,OH,2712,97944.0,0.5556160653505786
2006,OK,4024,29684.0,0.11348830096345007
2006,OR,7164,-16871.0,-0.036230296783060605
2006,PA,3041,119179.0,0.6029342574557964
2006,RI,56,1684.0,0.46263736263736266
2006,SC,1573,41722.0,0.40805907379333956
2006,SD,5950,-255.0,-0.0006593406593406593
2006,TN,2669,95689.0,0.551569299939476
2006,TX,13723,-41295.0,-0.046295102551023266
2006,UT,5418,-123490.0,-0.35065451344521115
2006,VA,2486,94267.0,0.5833714957608763
2006,VT,817,30992.0,0.5835985312117503
2006,WA,5802,49681.0,0.13173441518839657
2006,WI,4454,143658.0,0.49621083900383406
2006,WV,1739,76987.0,0.6810899278984386
2006,WY,7057,-124366.0,-0.27112414296770254
2007,AL,2388,65399.0,0.4213310140445819
2007,AR,2793,83491.0,0.45989148695915616
2007,AZ,6290,-156081.0,-0.38175614528555707
2007,CA,8356,-89508.0,-0.16479728983319217
2007,CO,6211,-14656.0,-0.036302837397669145
2007,CT,237,8063.0,0.5234014930217462
2007,DE,83,2456.0,0.45523632993512514
2007,FL,1710,27858.0,0.25063427800269905
2007,GA,3113,74467.0,0.36801996589982455
2007,IA,3706,132966.0,0.551978081281913
2007,ID,5739,-24911.0,-0.06677925663811707
2007,IL,3419,124605.0,0.5606902603100322
2007,IN,2272,84804.0,0.5742416034669556
2007,KS,4796,62354.0,0.20001924680823763
2007,KY,2348,85121.0,0.5577316210195257
2007,LA,1645,39630.0,0.3706336216974515
2007,MA,445,16139.0,0.5579602420051858
2007,MD,508,12742.0,0.38588734100545125
2007,ME,2442,91117.0,0.574037674037674
2007,MI,4487,117072.0,0.4014057705165349
2007,MN,6558,190309.0,0.4464517793886504
2007,MO,4479,145089.0,0.4983564325828224
2007,MS,2493,73098.0,0.4510969175229103
2007,MT,12005,-32495.0,-0.04164290519975651
2007,NC,2384,67907.0,0.4382227671657202
2007,ND,5964,93946.0,0.24234122684826911
2007,NE,5157,80981.0,0.24158649184827194
2007,NH,679,27987.0,0.6341225784524753
2007,NJ,344,8802.0,0.393649373881932
2007,NM,6787,-110876.0,-0.25133116478335277
2007,NV,7065,-232079.0,-0.5053710054983941
2007,NY,3425,133957.0,0.6017158899494666
